loan_id,borrower_name,loan_amount,days_overdue,past_defaults,income_band,payment_consistency,city,recovery_probability,risk_flag,days_overdue_bucket
LN1071,William Rodriguez,134548,30,0,Mid,0.6,Lake Matthew,48,Medium,16-30
LN1072,Lauren Adams,272764,5,0,Low,0.83,Youngfort,62,High Priority,0-15
LN1073,Duane Knox,497880,5,0,Low,0.52,West Jamiestad,46,Medium,0-15
LN1074,Maureen Bradley,98781,30,0,Low,0.64,Sampsonborough,42,Medium,16-30
LN1075,Barbara Wright,376902,5,0,Mid,0.33,Lake Meghan,44,Medium,0-15
LN1076,Caitlin Garcia PhD,230677,30,0,Low,0.74,Port Laura,47,Medium,16-30
LN1077,Mitchell Hall DDS,382937,15,0,Mid,0.73,South Jeremiah,60,High Priority,0-15
LN1078,Thomas Mathis,208751,30,0,Mid,0.96,Randallmouth,66,High Priority,16-30
LN1079,Marie Roach,169143,30,0,Low,0.87,East Scott,54,Medium,16-30
LN1080,Lisa Hogan,375754,90,0,High,0.93,East Scott,48,Medium,45+
LN1081,Kevin Carr,171836,0,0,Low,0.37,Baldwinshire,40,Medium,0-15
LN1082,Mrs. Stephanie Thompson,120386,5,1,Low,0.78,Port Rachelland,47,Medium,0-15
LN1083,Matthew Gordon,227869,45,0,Low,0.79,Patriciaside,44,Medium,31-45
LN1084,Shawn Martinez,177164,90,0,Mid,0.98,Millerchester,43,Medium,45+
LN1085,Michael Johnson,326569,5,0,Mid,0.81,Amyborough,68,High Priority,0-15
LN1086,Sarah Klein,37955,5,1,Low,0.95,West Emilystad,56,Medium,0-15
LN1087,Denise Boyer,81476,0,1,Mid,0.47,Robinsonbury,42,Medium,0-15
LN1088,Sarah Henry,206141,60,0,High,0.52,East Leah,40,Medium,45+
LN1089,Sarah Brown,86234,0,0,High,0.89,East Charlesborough,82,High Priority,0-15
LN1090,Jessica Atkins,220968,5,3,High,0.7,South Mariaborough,35,Medium,0-15
LN1091,Kathryn Johnson,25486,0,0,Mid,0.69,Lake Stacy,64,High Priority,0-15
LN1092,James Mora,369652,45,1,Mid,0.36,New Keith,18,Low Priority,31-45
LN1093,Ashley Kelley,172617,90,3,Low,0.82,Oneillland,0,Low Priority,45+
LN1094,Emily Werner,94460,5,0,Low,0.83,East Michellebury,62,High Priority,0-15
LN1095,Suzanne Brown,251915,60,1,Mid,0.46,New Amychester,17,Low Priority,45+
LN1096,Jenna Hernandez,213928,45,1,Low,0.36,Danielborough,10,Low Priority,31-45
LN1097,James Reyes,309106,15,2,High,0.47,Millshaven,32,Low Priority,0-15
LN1098,Lori York,453478,120,1,Low,0.36,Brianberg,0,Low Priority,45+
LN1099,Lori Davis,223196,5,1,Low,0.53,East Renee,34,Low Priority,0-15
LN1100,Michael Douglas,35485,15,0,Mid,0.34,West Benjaminville,41,Medium,0-15
LN1101,Christopher Garcia DDS,206843,45,1,Mid,0.78,East Craig,39,Medium,31-45
LN1102,Anthony Townsend,362363,90,0,Low,0.91,South Justin,32,Low Priority,45+
LN1103,Stacy Luna,385477,5,1,High,0.69,Lake Jacqueline,58,Medium,0-15
LN1104,Kenneth Johnson,254286,60,0,High,0.35,Port Amberfort,32,Low Priority,45+
LN1105,Jessica Hughes,111362,30,0,Low,0.45,New Douglas,32,Low Priority,16-30
LN1106,William Maldonado,279214,15,1,Mid,0.93,North Lauraside,58,Medium,0-15
LN1107,Luke Johnson,175576,60,3,Low,0.58,Jenniferfort,0,Low Priority,45+
LN1108,Joseph House,306103,30,0,Low,0.62,Madisonchester,41,Medium,16-30
LN1109,James Pennington,366809,0,0,Low,0.48,East Jenniferberg,46,Medium,0-15
LN1110,Oscar Graves DVM,198677,0,0,Mid,0.72,Reneebury,66,High Priority,0-15
LN1111,Richard Rivas,379151,0,2,High,0.96,East Monicabury,62,High Priority,0-15
LN1112,Kimberly James,69407,15,2,Low,0.91,Sarahfurt,38,Medium,0-15
LN1113,Charles Navarro,338714,0,0,Low,0.87,Taraview,66,High Priority,0-15
LN1114,David Kelly,421631,120,0,Mid,0.58,Jessicaport,11,Low Priority,45+
LN1115,Gina Booker,289114,45,1,Mid,0.59,Port Deborahfort,30,Low Priority,31-45
LN1116,Matthew Cline,413600,0,0,Mid,0.67,Adamville,64,High Priority,0-15
LN1117,Mark Harris,160932,120,0,Mid,0.96,Jensentown,30,Low Priority,45+
LN1118,Mr. Benjamin Boyd MD,183273,5,0,Low,0.48,Deanton,44,Medium,0-15
LN1119,Adam Perez,336076,30,0,Mid,0.73,North Michael,54,Medium,16-30
LN1120,Shawn Perez,56187,0,0,Mid,0.63,Dawnside,62,High Priority,0-15
LN1121,Ashlee Hill,332066,15,2,Mid,0.69,Port Philipport,34,Low Priority,0-15
LN1122,Christina Gibson,306429,45,0,Mid,0.59,Joannaberg,42,Medium,31-45
LN1123,John Hawkins,21252,30,1,Low,0.4,Riddleshire,18,Low Priority,16-30
LN1124,Christine Sullivan,98587,120,1,Mid,0.69,East Emily,4,Low Priority,45+
LN1125,Paul Taylor,276434,60,0,Mid,0.85,Timothymouth,48,Medium,45+
LN1126,John Jensen,270875,0,0,Mid,0.86,North Briannastad,73,High Priority,0-15
LN1127,John Robinson,337623,45,1,Low,0.33,Kimberlymouth,8,Low Priority,31-45
LN1128,Nathaniel Kelley,355621,15,0,Mid,0.47,Coreyburgh,48,Medium,0-15
LN1129,Bernard Scott,267666,15,0,Mid,0.58,Nashhaven,53,Medium,0-15
LN1130,Leonard Owens,173487,30,0,Low,0.93,Davidburgh,56,Medium,16-30
LN1131,Mariah Smith,383714,15,3,Mid,0.46,Moralesburgh,11,Low Priority,0-15
LN1132,Lauren Wilson,77108,0,0,Low,0.36,East Anthony,40,Medium,0-15
LN1133,Rebecca Henderson,150560,15,0,High,0.39,North Samanthahaven,52,Medium,0-15
LN1134,Debra Chapman,111865,30,0,Mid,0.74,Cassandramouth,55,Medium,16-30
LN1135,Eric Stout,423694,15,0,Low,0.3,Nancyton,31,Low Priority,0-15
LN1136,Brandy Morgan,84291,45,1,Low,0.45,Huntershire,14,Low Priority,31-45
LN1137,James Morgan,495774,60,0,Mid,0.67,West Patrickmouth,40,Medium,45+
LN1138,Samantha Campbell,265121,30,0,Low,0.8,West Amandatown,50,Medium,16-30
LN1139,Michael Adams,300174,45,1,Low,0.91,South John,38,Medium,31-45
LN1140,Anna Huffman,108869,15,0,Low,0.56,West Lisa,44,Medium,0-15
LN1141,Kathleen Cohen,241897,15,1,Low,0.67,Devinside,38,Medium,0-15
LN1142,Jay Powers,286776,60,0,Mid,0.85,Ricardofurt,48,Medium,45+
LN1143,Jose Ramos,145036,15,0,Mid,0.69,South Timview,58,Medium,0-15
LN1144,Sara Estrada,490951,5,0,Low,0.55,Monroehaven,48,Medium,0-15
LN1145,Monique Singh,205625,30,0,Mid,0.53,North Ashley,44,Medium,16-30
LN1146,William Fox,441240,0,0,Low,0.47,Justinburgh,46,Medium,0-15
LN1147,Mrs. Wendy Gordon,178211,60,0,High,0.34,Erinview,31,Low Priority,45+
LN1148,Mindy Cox,144040,0,0,Mid,0.99,Mercedesfort,80,High Priority,0-15
LN1149,Robert Guzman,451326,60,0,High,0.3,Sheritown,29,Low Priority,45+
LN1150,Catherine Gamble,413333,0,0,Mid,0.95,Melissafurt,78,High Priority,0-15
LN1151,Shari Ritter,20846,15,0,High,0.44,Weaverton,54,Medium,0-15
LN1152,Jessica Solis,443321,5,0,Mid,0.47,New Larryberg,52,Medium,0-15
LN1153,James Martin,409678,30,1,Low,0.65,Kevinfurt,30,Low Priority,16-30
LN1154,Natasha Black,52254,15,0,Low,0.54,South Jessica,43,Medium,0-15
LN1155,Paige West,85545,15,0,Low,0.78,Hammondtown,55,Medium,0-15
LN1156,Christy Simpson,447603,0,1,Mid,0.72,Kellybury,54,Medium,0-15
LN1157,Jon Farmer,99767,30,1,Low,0.9,East Phillipchester,43,Medium,16-30
LN1158,Michael Jones,32219,90,0,Mid,0.96,Smithfurt,42,Medium,45+
LN1159,Juan Adams,366699,5,2,Mid,0.33,Stephaniemouth,20,Low Priority,0-15
LN1160,Benjamin Bowers,107388,0,1,Low,0.41,New Mary,30,Low Priority,0-15
LN1161,Bryce Anderson,368884,0,0,Mid,0.94,Hudsonfurt,77,High Priority,0-15
LN1162,Calvin Meadows,168056,60,0,High,0.61,Christopherburgh,44,Medium,45+
LN1163,Deanna Fernandez,59711,15,0,Mid,0.65,Port Kevinstad,56,Medium,0-15
LN1164,Antonio Irwin,170168,5,0,Mid,0.35,Samanthaborough,46,Medium,0-15
LN1165,Cynthia Whitaker,112263,30,0,High,0.74,Port Jon,63,High Priority,16-30
LN1166,George Thomas,306663,30,0,High,0.65,Kaylahaven,58,Medium,16-30
LN1167,Joseph Cooper,45053,60,1,Low,0.52,Spencerfort,12,Low Priority,45+
LN1168,Rebecca Hughes,346628,45,0,Low,0.8,West Nicholas,44,Medium,31-45
LN1169,Angela Jones,385060,60,0,High,0.38,Leeshire,33,Low Priority,45+
LN1170,Sandra Martin,91907,15,1,Mid,0.68,Butlerberg,46,Medium,0-15
LN1171,Gabriel Bray,146108,0,1,Mid,0.75,Alexhaven,56,Medium,0-15
LN1172,Jordan Sanchez,452882,15,1,Mid,0.88,Port Bethanyview,56,Medium,0-15
LN1173,Meredith Moon,408349,60,0,Mid,0.62,East Perry,37,Medium,45+
LN1174,Diana Luna,96077,30,2,Low,0.37,New Patriciabury,4,Low Priority,16-30
LN1175,Rhonda Simpson,166400,0,2,High,0.7,Port Aliciaburgh,49,Medium,0-15
LN1176,Julie Young,215716,60,1,Low,0.7,Lorishire,21,Low Priority,45+
LN1177,Gary Horton,129945,0,0,Low,0.89,Davidside,66,High Priority,0-15
LN1178,Robert Parker,198954,15,0,High,0.89,West Joshuaberg,76,High Priority,0-15
LN1179,Emily Parker,144085,45,0,Low,0.46,North Stephanie,27,Low Priority,31-45
LN1180,Monica Moore,476590,5,0,Low,0.86,Smithberg,63,High Priority,0-15
LN1181,Mark Hill,380089,5,0,Mid,0.94,Port Howard,75,High Priority,0-15
LN1182,Allison Koch MD,159649,15,0,High,0.71,Fritzshire,68,High Priority,0-15
LN1183,Allen Callahan,61914,15,0,Low,0.65,West Jennifer,48,Medium,0-15
LN1184,Madeline Lawson,458981,0,0,Mid,0.49,Philipview,54,Medium,0-15
LN1185,Anthony Jackson,39097,0,1,Low,0.97,Sanchezfurt,58,Medium,0-15
LN1186,Ashley Odom,463056,15,2,Mid,0.43,Williamsbury,22,Low Priority,0-15
LN1187,Pamela Vaughn,171878,15,0,Mid,0.45,Nicholasview,46,Medium,0-15
LN1188,Anthony Simmons,471282,5,0,Mid,0.56,South Mary,56,Medium,0-15
LN1189,Cheryl Rivera,92847,15,0,Mid,0.62,Lake Bradleychester,55,Medium,0-15
LN1190,Mr. Jose Johnson,442081,15,0,Mid,0.84,Cruzhaven,66,High Priority,0-15
LN1191,Devin Douglas,347299,0,2,High,0.56,Deckermouth,42,Medium,0-15
LN1192,Brad Barrett,413170,30,0,Low,0.41,Hillfort,30,Low Priority,16-30
LN1193,April Olsen,148177,60,0,Mid,0.48,West Janetburgh,30,Low Priority,45+
LN1194,Tracie Perez,312822,30,0,Low,0.86,South Jasmineside,53,Medium,16-30
LN1195,Jeffrey Gill,354402,60,0,Mid,0.86,Chandlerville,49,Medium,45+
LN1196,Brandon Ramirez,369271,30,2,High,0.58,Hallberg,31,Low Priority,16-30
LN1197,Patricia Hernandez,409301,0,0,High,0.31,Julieton,54,Medium,0-15
LN1198,Brian Costa,274726,30,1,Low,0.91,Sancheztown,44,Medium,16-30
LN1199,Scott Cole,463676,5,2,High,0.54,Lake Hannahstad,39,Medium,0-15
LN1200,Debra Lewis,123145,45,0,Low,0.88,West Duanestad,48,Medium,31-45
LN1201,Jason Kim,446788,5,0,Mid,0.51,East Susan,54,Medium,0-15
LN1202,Autumn Mccarthy,402451,90,1,Low,0.7,Ellismouth,9,Low Priority,45+
LN1203,Charles Johnson,87642,60,1,Mid,0.32,Jasonburgh,10,Low Priority,45+
LN1204,Juan Cunningham,22573,30,1,Mid,0.45,New Allison,28,Low Priority,16-30
LN1205,Jeffrey Foster,168757,45,3,Mid,0.42,Piercestad,0,Low Priority,31-45
LN1206,Max Porter,408822,30,1,Mid,0.87,New Johnny,50,Medium,16-30
LN1207,Timothy Bailey,208456,0,0,Mid,0.88,Priceberg,74,High Priority,0-15
LN1208,Samantha Smith,21622,0,0,Low,0.49,West Kevinfurt,46,Medium,0-15
LN1209,Ruben Fletcher,49402,15,1,Mid,0.42,South Hollybury,33,Low Priority,0-15
LN1210,Nathan Hampton,472268,45,0,Mid,0.6,Adamston,42,Medium,31-45
LN1211,Todd Scott,499361,0,1,Low,0.72,South Matthew,46,Medium,0-15
LN1212,Laurie Wells,491833,0,1,Mid,0.94,South Hector,65,High Priority,0-15
LN1213,Tara Castillo,437978,0,0,Mid,0.76,East Lindseyport,68,High Priority,0-15
LN1214,Steve Sanchez,286997,0,0,Low,0.68,Port Sydneyview,56,Medium,0-15
LN1215,Miguel Wolf,134130,15,0,Mid,0.72,Jenniferville,60,High Priority,0-15
LN1216,Nicholas Blair,86017,30,0,Low,0.55,North Dawn,38,Medium,16-30
LN1217,Grace Case,337056,15,1,Mid,0.47,Huffburgh,36,Medium,0-15
LN1218,Rachel Wu,65186,0,0,High,0.3,North Bradyport,53,Medium,0-15
LN1219,Sara Brooks,305195,5,0,High,0.4,Port Codymouth,56,Medium,0-15
LN1220,Anthony Strong,200553,30,0,Low,0.97,Josephside,58,Medium,16-30
LN1221,Patricia Jackson,413554,30,1,Mid,0.78,Melanieview,45,Medium,16-30
LN1222,Juan Bartlett,340197,120,2,Mid,0.79,Angelahaven,0,Low Priority,45+
LN1223,Heather Jones,372744,90,0,Mid,0.95,Lake Reginatown,42,Medium,45+
LN1224,Melissa Foster,163254,15,0,Low,0.38,West Johnside,35,Medium,0-15
LN1225,Michelle Hurst,306214,0,2,High,0.96,Martintown,62,High Priority,0-15
LN1226,Stephanie James,419953,30,0,Mid,0.67,North Angelamouth,52,Medium,16-30
LN1227,Scott Simmons,86150,0,0,Low,0.38,West Matthew,41,Medium,0-15
LN1228,Joshua Schultz,230017,60,0,Mid,0.58,West Lauren,35,Medium,45+
LN1229,Jennifer Johnson,192070,5,0,Mid,0.52,Josephfort,54,Medium,0-15
LN1230,Lindsey Hatfield,178417,15,0,High,0.59,Harrisshire,62,High Priority,0-15
LN1231,Linda Marquez,143618,60,0,High,0.67,Port Dylan,48,Medium,45+
LN1232,Jessica Gonzalez,461759,90,0,Low,0.34,Lake Julie,3,Low Priority,45+
LN1233,Miranda Miller,202256,5,0,Mid,0.91,Lesliemouth,74,High Priority,0-15
LN1234,Dr. Tina Wright MD,340750,5,0,Low,0.67,South Emily,54,Medium,0-15
LN1235,Paige Huber,424032,0,0,Low,0.5,East Maria,47,Medium,0-15
LN1236,Joseph Edwards,206691,30,0,Low,0.94,Johnsonshire,57,Medium,16-30
LN1237,Bobby Tran DDS,263662,5,0,Mid,0.45,Barbarahaven,50,Medium,0-15
LN1238,Mark Ayala,63001,45,0,Mid,0.99,New Michael,62,High Priority,31-45
LN1239,Megan Davis,207710,90,0,Mid,0.42,East Sherylhaven,15,Low Priority,45+
LN1240,Jason Fitzpatrick,362579,0,0,High,0.46,Lake Erica,61,High Priority,0-15
LN1241,Angela Marks,346898,15,0,Low,0.45,Oliverhaven,38,Medium,0-15
LN1242,Melissa Barnes,178448,90,1,High,0.74,Bowmanland,27,Low Priority,45+
LN1243,Jamie Harris,86262,60,2,High,0.42,Port Davidburgh,11,Low Priority,45+
LN1244,Lisa Ramirez,27657,15,0,High,0.93,Contreraschester,78,High Priority,0-15
LN1245,Michael Alvarez,27906,0,0,Mid,0.72,Joshuachester,66,High Priority,0-15
LN1246,Lawrence Little MD,54701,60,0,Low,0.49,South Karl,22,Low Priority,45+
LN1247,Aaron Anderson,347304,0,2,Low,0.53,Steelefurt,24,Low Priority,0-15
LN1248,Stephanie Haynes,324664,15,0,Mid,0.56,Tanyaville,52,Medium,0-15
LN1249,Stacey Morrow,493415,30,0,Mid,0.97,Martinfurt,66,High Priority,16-30
LN1250,Tracie French,423119,30,0,High,0.65,Lake Annburgh,58,Medium,16-30
LN1251,Nicole Best,397149,15,1,Low,0.77,North Kimberly,42,Medium,0-15
LN1252,Jason Stone,269690,60,1,Mid,0.91,Lake Tiffany,40,Medium,45+
LN1253,Pamela Mathis,218747,60,2,Mid,0.89,New Samantha,26,Low Priority,45+
LN1254,Steven Lloyd,379768,90,0,Mid,0.43,Allentown,16,Low Priority,45+
LN1255,Daniel Reed,214692,60,2,Low,0.88,Lake Monicahaven,18,Low Priority,45+
LN1256,Nathan White,388009,45,0,High,0.3,Smithberg,35,Medium,31-45
LN1257,Laura Mason,146209,45,0,Low,0.5,Lake Tara,29,Low Priority,31-45
LN1258,Dr. Jim Murphy,473677,5,0,Low,0.56,Johnsonhaven,48,Medium,0-15
LN1259,Diana Diaz,188383,15,1,Low,0.83,Harringtonview,46,Medium,0-15
LN1260,Maria Patrick,49257,5,1,Low,0.43,Robleston,30,Low Priority,0-15
LN1261,Stacey Bryan,177732,0,2,Mid,0.35,Nelsonstad,24,Low Priority,0-15
LN1262,Manuel Jenkins,278778,0,1,Mid,0.63,North David,50,Medium,0-15
LN1263,Hannah Johnson,273973,30,0,High,0.98,Port Dana,75,High Priority,16-30
LN1264,Mr. Scott Rosales,44860,5,1,Mid,0.57,North Miguel,44,Medium,0-15
LN1265,William Mcgrath,339516,0,0,Mid,0.84,South Ianmouth,72,High Priority,0-15
LN1266,Victoria Ball,311385,0,0,Mid,0.96,Kevinville,78,High Priority,0-15
LN1267,Brooke Moore,109186,15,0,Mid,0.79,Port Kristenfort,64,High Priority,0-15
LN1268,Matthew Lane,305555,45,1,Low,0.39,North Lisa,12,Low Priority,31-45
LN1269,Curtis Morales,72930,90,0,Mid,0.96,Bennettburgh,42,Medium,45+
LN1270,Laura Wong,232943,60,3,Mid,0.61,Mirandaborough,0,Low Priority,45+
LN1271,Derrick Hale,287770,5,2,Low,0.45,Dorothychester,18,Low Priority,0-15
LN1272,Michelle Gilmore,46431,60,1,Mid,0.63,Justinborough,26,Low Priority,45+
LN1273,Kenneth Smith,105530,90,0,High,0.84,Fitzgeraldview,44,Medium,45+
LN1274,Elizabeth Barr,225390,15,0,Low,0.86,North Scottmouth,59,Medium,0-15
LN1275,Katherine Taylor,452043,0,2,Mid,0.86,South Timothymouth,49,Medium,0-15
LN1276,Benjamin Ramirez,350904,0,0,Mid,0.47,Davisport,54,Medium,0-15
LN1277,Adam Green,290856,0,0,Low,0.71,Robertmouth,58,Medium,0-15
LN1278,Mark Guzman,331412,15,0,High,0.4,Valdezmouth,52,Medium,0-15
LN1279,David Parker,274225,30,0,High,0.81,Gregfurt,66,High Priority,16-30
LN1280,Tammy Barker,26154,30,2,Mid,0.33,Port Samantha,10,Low Priority,16-30
LN1281,Toni Conner,184053,30,0,Low,0.7,Robertsmouth,45,Medium,16-30
LN1282,Thomas Burke,265198,15,1,Mid,0.69,Mckenziestad,46,Medium,0-15
LN1283,Paige Long,42431,90,0,Mid,0.92,Colechester,40,Medium,45+
LN1284,Andrea Wang,497085,0,0,Low,0.39,Trevorton,42,Medium,0-15
LN1285,Antonio Hancock,174470,0,1,High,0.33,Port Jacobview,42,Medium,0-15
LN1286,Jill Marquez,438219,0,1,Mid,0.32,North Adamville,34,Low Priority,0-15
LN1287,Karla Hernandez,256293,30,1,Low,0.95,Robinsonberg,46,Medium,16-30
LN1288,John Gonzales,384359,30,1,Low,0.87,New Michelle,42,Medium,16-30
LN1289,Emily Lee,177702,30,0,Mid,0.85,East Patriciashire,60,High Priority,16-30
LN1290,Michael Faulkner,315806,30,0,Mid,0.36,Port Gabriellaport,36,Medium,16-30
LN1291,Tracy Thomas,231957,15,1,Mid,0.73,Fisherborough,48,Medium,0-15
LN1292,Daniel Roman,182962,90,0,Low,0.85,New Danny,28,Low Priority,45+
LN1293,Chad Hayes,90326,0,0,Low,0.76,Krystalview,60,High Priority,0-15
LN1294,Nathaniel Lee,188484,120,3,Mid,0.44,Brownview,0,Low Priority,45+
LN1295,Matthew Shaw,245314,0,0,Low,0.89,Lopezmouth,66,High Priority,0-15
LN1296,George Stewart,485757,90,0,High,0.74,Lopezside,39,Medium,45+
LN1297,Nathan Baker,308107,45,0,Mid,0.66,North Joseph,45,Medium,31-45
LN1298,Jane Lee,216200,5,1,Mid,0.91,South Dakota,62,High Priority,0-15
LN1299,Sharon Martinez,308161,45,1,High,0.5,East Mauricefurt,33,Low Priority,31-45
LN1300,Raymond Austin,106652,0,1,Mid,0.81,North Robert,58,Medium,0-15
LN1301,Elizabeth Rubio,440706,45,0,Mid,0.74,Leberg,49,Medium,31-45
LN1302,Mark Malone,217133,90,0,High,0.64,South Mary,34,Low Priority,45+
LN1303,Amy Howard,186205,0,0,Mid,0.71,Lake Maryborough,66,High Priority,0-15
LN1304,Kristen Peterson,121459,15,0,Low,0.98,New Eileenstad,65,High Priority,0-15
LN1305,Susan Adams,349793,60,0,Mid,0.72,Brucemouth,42,Medium,45+
LN1306,Elizabeth Gonzales,249027,90,0,Low,0.35,Katiebury,4,Low Priority,45+
